,date,order_qty,interval,open_nums,close_nums
0,2023-01-03,20,10,229,7
1,2023-01-04,20,10,10,1
2,2023-01-05,20,10,4,2
3,2023-01-06,20,10,2,2
4,2023-01-09,20,10,3,3
5,2023-01-10,20,10,6,3
6,2023-01-11,20,10,1,2
7,2023-01-12,20,10,3,3
8,2023-01-13,20,10,4,1
9,2023-01-16,20,10,4,7
10,2023-01-17,20,10,2,3
11,2023-01-18,20,10,0,3
12,2023-01-19,20,10,4,2
13,2023-01-20,20,10,3,8
14,2023-01-30,20,10,9,24
15,2023-01-31,20,10,7,7
16,2023-02-01,20,10,3,8
17,2023-02-02,20,10,6,2
18,2023-02-03,20,10,5,10
19,2023-02-06,20,10,5,3
20,2023-02-07,20,10,3,1
21,2023-02-08,20,10,3,6
22,2023-02-09,20,10,5,6
23,2023-02-10,20,10,6,7
24,2023-02-13,20,10,4,3
25,2023-02-14,20,10,7,7
26,2023-02-15,20,10,6,4
27,2023-02-16,20,10,4,5
28,2023-02-17,20,10,8,5
29,2023-02-20,20,10,2,8
30,2023-02-21,20,10,2,1
31,2023-02-22,20,10,2,6
32,2023-02-23,20,10,4,1
33,2023-02-24,20,10,2,4
34,2023-02-27,20,10,8,2
35,2023-02-28,20,10,1,5
36,2023-03-01,20,10,3,4
37,2023-03-02,20,10,2,5
38,2023-03-03,20,10,0,5
39,2023-03-06,20,10,1,10
40,2023-03-07,20,10,6,11
41,2023-03-08,20,10,6,7
42,2023-03-09,20,10,9,11
43,2023-03-10,20,10,10,22
44,2023-03-13,20,10,9,9
45,2023-03-14,20,10,21,15
46,2023-03-15,20,10,6,6
47,2023-03-16,20,10,25,12
48,2023-03-17,20,10,7,9
49,2023-03-20,20,10,11,11
50,2023-03-21,20,10,6,9
51,2023-03-22,20,10,4,6
52,2023-03-23,20,10,6,10
53,2023-03-24,20,10,8,6
54,2023-03-27,20,10,13,9
55,2023-03-28,20,10,3,8
56,2023-03-29,20,10,6,15
57,2023-03-30,20,10,5,13
58,2023-03-31,20,10,15,22
59,2023-04-03,20,10,1,16
60,2023-04-04,20,10,21,12
61,2023-04-06,20,10,12,18
62,2023-04-07,20,10,0,1
63,2023-04-10,20,10,0,24
64,2023-04-11,20,10,21,12
65,2023-04-12,20,10,16,22
66,2023-04-13,20,10,12,11
67,2023-04-14,20,10,7,9
68,2023-04-17,20,10,3,4
69,2023-04-18,20,10,0,1
70,2023-04-19,20,10,10,18
71,2023-04-20,20,10,16,12
72,2023-04-21,20,10,20,32
73,2023-04-24,20,10,37,21
74,2023-04-25,20,10,20,28
75,2023-04-26,20,10,6,7
76,2023-04-27,20,10,13,21
77,2023-04-28,20,10,14,28
78,2023-05-04,20,10,19,9
79,2023-05-05,20,10,12,13
