日期,报单编号,交易所,合约代码,买卖,开平,报单价格,报单数量,报单状态,成交均价,成交数量,撤单数量,剩余数量,报单时间,撤单时间,成交时间
20240925,778,CZCE,SR501,买,开仓,5923,1,全部成交,5923,1,0,0,10:37:50,,10:38:42
20240925,770,CZCE,SR501,买,开仓,5927,12,全部成交,5927,12,0,0,10:36:23,,10:37:33
20240925,738,CZCE,SR501,买,开仓,5931,12,全部成交,5931,12,0,0,10:30:50,,10:31:23
20240925,490,CZCE,SR501,买,开仓,5935,12,全部成交,5935,12,0,0,9:19:35,,9:19:51
20240925,442,CZCE,SR501,买,开仓,5939,12,全部成交,5939,12,0,0,9:16:28,,9:16:40
20240925,434,CZCE,SR501,买,开仓,5943,12,全部成交,5943,12,0,0,9:15:53,,9:16:06
20240925,426,CZCE,SR501,买,开仓,5947,12,全部成交,5947,12,0,0,9:15:36,,9:15:43
20240925,418,CZCE,SR501,买,开仓,5951,12,全部成交,5951,12,0,0,9:15:14,,9:15:16
20240925,410,CZCE,SR501,买,开仓,5955,12,全部成交,5955,12,0,0,9:15:06,,9:15:08
20240925,402,CZCE,SR501,买,开仓,5959,12,全部成交,5959,12,0,0,9:14:44,,9:15:03
20240820,81,CZCE,SR501,买,开仓,5963,12,全部成交,5963,12,0,0,14:55:00,,14:55:00
20240820,82,CZCE,SR501,买,开仓,5967,12,全部成交,5967,12,0,0,14:55:00,,14:55:00
20240820,83,CZCE,SR501,买,开仓,5971,12,全部成交,5971,12,0,0,14:55:00,,14:55:00
20240820,84,CZCE,SR501,买,开仓,5975,12,全部成交,5975,12,0,0,14:55:00,,14:55:00
20240820,85,CZCE,SR501,买,开仓,5979,12,全部成交,5979,12,0,0,14:55:00,,14:55:00
20240820,86,CZCE,SR501,买,开仓,5983,12,全部成交,5983,12,0,0,14:55:00,,14:55:00
20240820,87,CZCE,SR501,买,开仓,5987,12,全部成交,5987,12,0,0,14:55:00,,14:55:00
20240820,88,CZCE,SR501,买,开仓,5991,12,全部成交,5991,12,0,0,14:55:00,,14:55:00
20240820,89,CZCE,SR501,买,开仓,5995,12,全部成交,5995,12,0,0,14:55:00,,14:55:00
20240820,90,CZCE,SR501,买,开仓,5999,12,全部成交,5999,12,0,0,14:55:00,,14:55:00
20240820,91,CZCE,SR501,买,开仓,6003,12,全部成交,6003,12,0,0,14:55:00,,14:55:00
20240820,92,CZCE,SR501,买,开仓,6007,12,全部成交,6007,12,0,0,14:55:00,,14:55:00
20240820,93,CZCE,SR501,买,开仓,6011,12,全部成交,6011,12,0,0,14:55:00,,14:55:00
20240820,94,CZCE,SR501,买,开仓,6015,12,全部成交,6015,12,0,0,14:55:00,,14:55:00
20240820,95,CZCE,SR501,买,开仓,6019,12,全部成交,6019,12,0,0,14:55:00,,14:55:00
20240820,96,CZCE,SR501,买,开仓,6023,12,全部成交,6023,12,0,0,14:55:00,,14:55:00
20240820,97,CZCE,SR501,买,开仓,6027,12,全部成交,6027,12,0,0,14:55:00,,14:55:00
20240820,98,CZCE,SR501,买,开仓,6031,12,全部成交,6031,12,0,0,14:55:00,,14:55:00
20240820,99,CZCE,SR501,买,开仓,6035,12,全部成交,6035,12,0,0,14:55:00,,14:55:00
20240820,100,CZCE,SR501,买,开仓,6039,12,全部成交,6039,12,0,0,14:55:00,,14:55:00
20240820,101,CZCE,SR501,买,开仓,6043,12,全部成交,6043,12,0,0,14:55:00,,14:55:00
20240820,102,CZCE,SR501,买,开仓,6047,12,全部成交,6047,12,0,0,14:55:00,,14:55:00
20240820,103,CZCE,SR501,买,开仓,6051,12,全部成交,6051,12,0,0,14:55:00,,14:55:00
20240820,104,CZCE,SR501,买,开仓,6055,12,全部成交,6055,12,0,0,14:55:00,,14:55:00
20240820,105,CZCE,SR501,买,开仓,6059,12,全部成交,6059,12,0,0,14:55:00,,14:55:00
20240820,106,CZCE,SR501,买,开仓,6063,12,全部成交,6063,12,0,0,14:55:00,,14:55:00
20240820,107,CZCE,SR501,买,开仓,6067,12,全部成交,6067,12,0,0,14:55:00,,14:55:00
20240820,108,CZCE,SR501,买,开仓,6071,12,全部成交,6071,12,0,0,14:55:00,,14:55:00
20240820,109,CZCE,SR501,买,开仓,6075,12,全部成交,6075,12,0,0,14:55:00,,14:55:00
20240820,110,CZCE,SR501,买,开仓,6079,12,全部成交,6079,12,0,0,14:55:00,,14:55:00
20240820,111,CZCE,SR501,买,开仓,6083,12,全部成交,6083,12,0,0,14:55:00,,14:55:00
